TP53	3.292
PIK3CA	3.207
GATA3	2.29
CDH1	2.285
MAP3K1	1.831
KMT2C	1.649
PIK3R1	1.599
PTEN	1.508
MAP2K4	1.19
RUNX1	1.164
NCOR1	1.039
TBX3	0.985
FOXA1	0.872
AKT1	0.764
BRCA2	0.74
ARID1A	0.72
ERBB2	0.662
MYH9	0.661
MAP1A	0.625
MAP2	0.623
VPS13C	0.604
AKAP9	0.583
HMCN1	0.582
TTN	0.542
MUC17	0.509
NF1	0.489
HUWE1	0.474
CTCF	0.445
AFF2	0.442
ACTB	0.436
SYBU	0.435
RANBP2	0.405
BRCA1	0.402
MYH10	0.395
USH2A	0.391
CASP8	0.389
PIWIL2	0.389
ACTG1	0.383
PIWIL1	0.373
SND1	0.369
MYH14	0.366
ARID4B	0.35
KIF17	0.331
TPR	0.329
NUP98	0.328
PHKA2	0.323
SF3B1	0.321
WDR44	0.319
NUP153	0.317
KMT2E	0.314
RIMS1	0.308
EYS	0.308
LAMB4	0.306
ANKRD12	0.304
KIFAP3	0.3
MED12	0.298
RIMS2	0.298
RIMS4	0.298
RIMS3	0.298
SMC3	0.297
ASXL2	0.291
ASXL1	0.291
ASXL3	0.283
TAF1	0.277
BSN	0.277
RP2	0.276
SRCAP	0.275
PCLO	0.273
FMR1	0.271
APP	0.268
ERBB3	0.266
RB1	0.266
SMARCE1	0.264
SMARCC2	0.264
RAPGEF6	0.262
RAD51	0.259
BAP1	0.257
INCENP	0.254
SLF1	0.252
MYO1C	0.248
STUB1	0.247
ATP7A	0.244
CDH2	0.244
ARID1B	0.241
ABCA7	0.24
RUNX3	0.24
NBN	0.234
KDM5B	0.233
SMARCA2	0.232
NCR1	0.231
ATXN3	0.231
ACTL6A	0.231
SMARCA4	0.227
RAD18	0.225
KDM6A	0.225
CHD4	0.223
BLM	0.221
ATXN1	0.221
SMARCC1	0.221
SMARCD3	0.221
SMARCB1	0.221
SMARCD2	0.221
SMARCD1	0.221
BACH2	0.218
PAFAH1B1	0.218
NXF1	0.217
ACTL6B	0.213
ATAD2B	0.211
PABPN1	0.207
DLG1	0.206
SMC1B	0.204
MUC4	0.202
CCDC155	0.202
F5	0.2
ADORA2A	0.197
GRIN2A	0.196
KIAA1109	0.195
ADORA1	0.193
RP1	0.193
MYO7A	0.191
NLGN1	0.191
CBFB	0.191
CSMD3	0.19
DST	0.189
MYO1A	0.188
CACNA1E	0.187
REC8	0.186
SYCP3	0.186
FN1	0.183
MEI4	0.178
SYCP2	0.178
RAD21L1	0.178
ITIH6	0.177
MYO6	0.177
NDEL1	0.172
MEN1	0.172
SIRT1	0.172
SIRT2	0.172
SHROOM4	0.165
EZR	0.165
CBX5	0.165
CDH9	0.164
ITGB3	0.162
NLGN2	0.162
TEK	0.162
RBBP7	0.159
RBBP4	0.159
DMD	0.157
XPO1	0.155
CEACAM1	0.155
DDX6	0.153
NLGN3	0.153
MSH6	0.152
KDM6B	0.151
ASH2L	0.151
UTY	0.151
PEG3	0.149
PTPRS	0.149
FBXW7	0.149
HDAC2	0.149
HIP1R	0.148
MYBPC1	0.148
MYBPC2	0.148
MYBPC3	0.148
MAPT	0.148
EML5	0.147
SPTB	0.145
SHANK2	0.145
MLH1	0.145
SPTA1	0.145
PALM	0.144
CTNNB1	0.144
RUVBL2	0.144
RUVBL1	0.144
GSG1L	0.143
TF	0.141
HNRNPK	0.14
DNM2	0.139
ITGAV	0.139
DLG4	0.139
NOS1	0.139
MYOM1	0.138
MYOM2	0.138
ITGA6	0.138
COL7A1	0.138
GPS2	0.136
MYO5A	0.136
TCP1	0.135
GRIK3	0.134
GRIK2	0.134
USH1C	0.134
CCAR1	0.133
TPM1	0.133
COL15A1	0.132
MSH4	0.131
MSH5	0.131
ACTN1	0.131
BCL10	0.13
OBSL1	0.13
MIEN1	0.13
RASA3	0.13
PRMT8	0.13
NPHS2	0.13
WRN	0.13
YLPM1	0.129
MTA1	0.129
MST1R	0.129
CDKL5	0.129
ACTN4	0.128
TAF4	0.128
AMTN	0.128
HSPD1	0.128
BICD2	0.127
HSPA2	0.127
ALDOA	0.127
PMS2	0.127
COL8A1	0.126
COL4A4	0.126
COL4A5	0.126
COL2A1	0.126
COL5A1	0.126
COL4A3	0.126
COL4A6	0.126
COL4A2	0.126
COL4A1	0.126
PLK1	0.126
GRID2	0.125
KIF4A	0.125
AGRN	0.124
PAXIP1	0.124
LRRK2	0.124
HTRA2	0.124
CHD5	0.124
LDLRAP1	0.124
EGFR	0.124
PKD2	0.124
DYNLL1	0.124
DAG1	0.123
HSPA8	0.122
